id|matter|injection_params|weight|size|is_defect|platemark|type|price_before_takeoff|price_after_discount
Т132013977|Золото|3 фианит 0,8 Круг|1.86|15|1|585|obruchalnye|1062.86|340.12
Т132013977|Золото|3 фианит 0,8 Круг|1.9|15|0|585|obruchalnye|865.87|389.64
Т132013977|Золото|3 фианит 0,8 Круг|1.9|15|0|585|obruchalnye|865.87|389.64
Т132013977|Золото|3 фианит 0,8 Круг|1.72|15|0|585|obruchalnye|783.84|352.73
Т132013977|Золото|3 фианит 0,8 Круг|1.72|15|0|585|obruchalnye|783.84|352.73
Т132013977|Золото|3 фианит 0,8 Круг|1.72|15|0|585|obruchalnye|783.84|352.73
Т132013977|Золото|3 фианит 0,8 Круг|1.72|15|0|585|obruchalnye|783.84|352.73
Т132013977|Золото|3 фианит 0,8 Круг|1.75|15|0|585|obruchalnye|797.51|358.88
Т132013977|Золото|3 фианит 0,8 Круг|1.78|15|0|585|obruchalnye|1017.15|457.72
Т132013977|Золото|3 фианит 0,8 Круг|1.79|15|0|585|obruchalnye|1022.86|460.29
Т132013977|Золото|3 фианит 0,8 Круг|1.79|15|0|585|obruchalnye|815.74|367.08
Т132013977|Золото|3 фианит 0,8 Круг|1.77|15|0|585|obruchalnye|1011.43|455.14
Т132013977|Золото|3 фианит 0,8 Круг|1.8|15|0|585|obruchalnye|820.3|369.14
Т132013977|Золото|3 фианит 0,8 Круг|1.8|15|0|585|obruchalnye|1028.57|462.86
Т132013977|Золото|3 фианит 0,8 Круг|1.82|15|0|585|obruchalnye|829.41|373.23
Т132013977|Золото|3 фианит 0,8 Круг|1.82|15|0|585|obruchalnye|829.41|373.23
Т132013977|Золото|3 фианит 0,8 Круг|1.82|15|0|585|obruchalnye|829.41|373.23
Т132013977|Золото|3 фианит 0,8 Круг|1.82|15|0|585|obruchalnye|1040|468.00
Т132013977|Золото|3 фианит 0,8 Круг|1.83|15|0|585|obruchalnye|833.97|375.29
Т132013977|Золото|3 фианит 0,8 Круг|1.83|15|0|585|obruchalnye|833.97|375.29
Т132013977|Золото|3 фианит 0,8 Круг|1.66|15|0|585|obruchalnye|756.5|340.43
Т132013977|Золото|3 фианит 0,8 Круг|1.84|15|0|585|obruchalnye|838.52|377.33
Т132013977|Золото|3 фианит 0,8 Круг|1.84|15|0|585|obruchalnye|838.52|377.33
Т132013977|Золото|3 фианит 0,8 Круг|1.75|15,5|0|585|obruchalnye|797.51|358.88
Т132013977|Золото|3 фианит 0,8 Круг|1.81|15|0|585|obruchalnye|824.85|371.18
Т132013977|Золото|3 фианит 0,8 Круг|1.81|15|0|585|obruchalnye|1034.29|465.43
Т132013977|Золото|3 фианит 0,8 Круг|1.81|15|0|585|obruchalnye|824.85|371.18
Т132013977|Золото|3 фианит 0,8 Круг|1.85|15,5|0|585|obruchalnye|1057.15|475.72
Т132013977|Золото|3 фианит 0,8 Круг|1.69|15,5|0|585|obruchalnye|770.17|346.58
Т132013977|Золото|3 фианит 0,8 Круг|1.76|15|0|585|obruchalnye|1005.72|452.57
Т132013977|Золото|3 фианит 0,8 Круг|1.65|15|0|585|obruchalnye|751.94|338.37
Т132013977|Золото|3 фианит 0,8 Круг|1.68|15,5|0|585|obruchalnye|765.61|344.52
Т132013977|Золото|3 фианит 0,8 Круг|1.64|15|0|585|obruchalnye|937.15|421.72
Т132013977|Золото|3 фианит 0,8 Круг|1.96|15|0|585|obruchalnye|1120|504.00
Т20001016|Золото|None|1.46|15|0|375|obruchalnye|604.86|272.19
Т20001016|Золото|None|1.7|15,5|0|375|obruchalnye|704.29|316.93
Т20001016|Золото|None|1.57|15,5|0|375|obruchalnye|650.44|292.70
Т20001016|Золото|None|1.64|17|0|375|obruchalnye|679.44|305.75
Т20001016|Золото|None|1.64|17|0|375|obruchalnye|679.44|305.75
Т20001016|Золото|None|1.47|15|0|375|obruchalnye|609.01|274.05
Т20001016|Золото|None|1.48|15|0|375|obruchalnye|613.15|275.92
Т20001016|Золото|None|1.48|15|0|375|obruchalnye|613.15|275.92
Т20001016|Золото|None|1.48|15|0|375|obruchalnye|613.15|275.92
Т20001016|Золото|None|1.48|15|0|375|obruchalnye|613.15|275.92
Т20001016|Золото|None|1.48|15|0|375|obruchalnye|613.15|275.92
Т20001016|Золото|None|1.51|15,5|0|375|obruchalnye|625.58|281.51
Т20001016|Золото|None|1.58|16|0|375|obruchalnye|654.58|294.56
Т20001016|Золото|None|2.29|23|0|375|obruchalnye|948.72|426.92
Т20001016|Золото|None|2.01|21|0|375|obruchalnye|832.72|374.72
Т20001016|Золото|None|2.2|21,5|0|375|obruchalnye|911.44|410.15
Т20001016|Золото|None|1.51|15,5|0|375|obruchalnye|625.58|281.51
Т20001016|Золото|None|2.08|22,5|0|375|obruchalnye|861.72|387.77
Т20001016|Золото|None|1.46|15,5|0|375|obruchalnye|604.86|272.19
Т20001016|Золото|None|1.49|16|0|375|obruchalnye|617.29|277.78
Т20001016|Золото|None|1.49|16|0|375|obruchalnye|617.29|277.78
Т20001016|Золото|None|2.08|22|0|375|obruchalnye|861.72|387.77
Т20001016|Золото|None|2.15|23|0|375|obruchalnye|890.72|400.82
Т20001016|Золото|None|1.48|15|0|375|obruchalnye|613.15|275.92
Т20001016|Золото|None|1.49|15,5|0|375|obruchalnye|617.29|277.78
Т20001016|Золото|None|1.5|15,5|0|375|obruchalnye|621.44|279.65
Т20001016|Золото|None|1.93|20|0|375|obruchalnye|799.58|359.81
Т20001016|Золото|None|2.16|22,5|0|375|obruchalnye|894.87|402.69
Т20001016|Золото|None|1.5|16|0|375|obruchalnye|621.44|279.65
Т20001016|Золото|None|1.51|16|0|375|obruchalnye|625.58|281.51
Т20001016|Золото|None|1.53|16|0|375|obruchalnye|633.86|285.24
Т20001016|Золото|None|1.61|16,5|0|375|obruchalnye|667.01|300.15
Т20001016|Золото|None|1.45|15|0|375|obruchalnye|600.72|270.32
Т20001016|Золото|None|1.72|18|0|375|obruchalnye|712.58|320.66
Т20001016|Золото|None|1.72|18|0|375|obruchalnye|712.58|320.66
Т20001016|Золото|None|1.47|15|0|375|obruchalnye|609.01|274.05
Т20001016|Золото|None|1.47|15|0|375|obruchalnye|609.01|274.05
Т20001016|Золото|None|1.47|15|0|375|obruchalnye|609.01|274.05
Т20001016|Золото|None|1.99|21|0|375|obruchalnye|824.44|371.00
Т20001016|Золото|None|1.81|18,5|0|375|obruchalnye|749.86|337.44
Т20001016|Золото|None|1.92|20,5|0|375|obruchalnye|795.44|357.95
Т20001016|Золото|None|2.08|21,5|0|375|obruchalnye|861.72|387.77
Т20001016|Золото|None|1.56|16|0|375|obruchalnye|646.29|290.83
Т20001016|Золото|None|1.56|16|0|375|obruchalnye|646.29|290.83
Т20001016|Золото|None|2.13|23|0|375|obruchalnye|882.44|397.10
Т20001016|Золото|None|1.39|15,5|0|375|obruchalnye|575.86|259.14
Т20001016|Золото|None|1.55|16|0|375|obruchalnye|642.15|288.97
Т20001016|Золото|None|1.9|19|0|375|obruchalnye|787.15|354.22
Т20001016|Золото|None|1.9|19|0|375|obruchalnye|787.15|354.22
Т20001016|Золото|None|2.19|22,5|0|375|obruchalnye|907.3|408.29
Т20001016|Золото|None|2.1|21,5|0|375|obruchalnye|870.01|391.50
Т20001016|Золото|None|2|20,5|0|375|obruchalnye|828.58|372.86
Т20001016|Золото|None|1.75|17,5|0|375|obruchalnye|725.01|326.25
Т20001016|Золото|None|2.27|22|0|375|obruchalnye|940.44|423.20
Т20001016|Золото|None|2.23|22|0|375|obruchalnye|923.87|415.74
Т20001016|Золото|None|1.6|16|0|375|obruchalnye|662.86|298.29
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.72|16,5|0|585|dekorativnye_1|677.66|508.25
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.8|17,5|0|585|dekorativnye_1|756.42|567.32
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.69|16,5|0|585|dekorativnye_1|660.27|495.20
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.7|16,5|0|585|dekorativnye_1|678.39|508.79
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.74|16|0|585|dekorativnye_1|687.71|515.78
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.64|15,5|0|585|dekorativnye_1|614.36|460.77
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.66|15|0|585|dekorativnye_1|671.68|503.76
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.71|15|0|585|dekorativnye_1|663.12|497.34
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.72|15|0|585|dekorativnye_1|673.65|505.24
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.75|15|0|585|dekorativnye_1|697.81|523.36
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.77|16|0|585|dekorativnye_1|705.06|528.80
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.77|16|0|585|dekorativnye_1|724.29|543.22
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.63|16,5|0|585|dekorativnye_1|627.15|470.36
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.65|17|0|585|dekorativnye_1|643.6|482.70
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.65|17|0|585|dekorativnye_1|646.99|485.24
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.66|16,5|0|585|dekorativnye_1|635.44|476.58
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.67|16,5|0|585|dekorativnye_1|632.27|474.20
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.67|16,5|0|585|dekorativnye_1|640.41|480.31
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.67|16,5|0|585|dekorativnye_1|642.76|482.07
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.67|16,5|0|585|dekorativnye_1|645.95|484.46
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.67|17|0|585|dekorativnye_1|644.8|483.60
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.68|16,5|0|585|dekorativnye_1|645.99|484.49
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.69|17|0|585|dekorativnye_1|656.94|492.71
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.69|17|0|585|dekorativnye_1|661.01|495.76
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.69|17|0|585|dekorativnye_1|648.59|486.44
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.72|17|0|585|dekorativnye_1|682.12|511.59
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.73|16|0|585|dekorativnye_1|673.44|505.08
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.73|17|0|585|dekorativnye_1|689.15|516.86
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.74|17|0|585|dekorativnye_1|695.79|521.84
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.75|17|0|585|dekorativnye_1|702.82|527.11
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.75|17|0|585|dekorativnye_1|687.2|515.40
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.73|16|0|585|dekorativnye_1|696.49|522.37
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.75|16,5|0|585|dekorativnye_1|702.82|527.12
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.67|15,5|0|585|dekorativnye_1|635.52|476.64
1011396|Золото|15 Бр Круг 17 0,081 2/3А|0.7|16,5|0|585|dekorativnye_1|664.88|498.66
Т200013731|Золото|None|3.24|21,5|0|375|obruchalnye|1342.3|604.04
Т200013731|Золото|None|3.2|22,5|0|375|obruchalnye|1325.73|596.58
Т200013731|Золото|None|3.2|22,5|0|375|obruchalnye|1325.73|596.58
Т200013731|Золото|None|3.21|22,5|0|375|obruchalnye|1329.87|598.44
Т200013731|Золото|None|3.27|22|0|375|obruchalnye|1354.73|609.63
Т200013731|Золото|None|3.3|23|0|375|obruchalnye|1367.16|615.22
Т200013731|Золото|None|3.33|23|0|375|obruchalnye|1379.59|620.82
Т200013731|Золото|None|3.36|23|0|375|obruchalnye|1392.01|626.40
Т200013731|Золото|None|3.2|22,5|0|375|obruchalnye|1325.73|596.58
Т200013731|Золото|None|3.27|22,5|0|375|obruchalnye|1354.73|609.63
Т200013731|Золото|None|2.39|16,5|0|375|obruchalnye|990.15|445.57
Т200013731|Золото|None|2.19|15,5|0|375|obruchalnye|907.3|408.29
Т200013731|Золото|None|3.16|21,5|0|375|obruchalnye|1309.16|589.12
Т200013731|Золото|None|3.31|23|0|375|obruchalnye|1371.3|617.09
Т200013731|Золото|None|2.67|18|0|375|obruchalnye|1106.15|497.77
Т200013731|Золото|None|3.36|22|0|375|obruchalnye|1392.01|626.40
Т200013731|Золото|None|3.46|22,5|0|375|obruchalnye|1433.44|645.05
Т200013731|Золото|None|3.57|23|0|375|obruchalnye|1479.02|665.56
Т200013731|Золото|None|3.2|22,5|0|375|obruchalnye|1325.73|596.58
Т200013731|Золото|None|3.33|23|0|375|obruchalnye|1379.59|620.82
Т200013731|Золото|None|3.14|21|0|375|obruchalnye|1300.87|585.39
Т200013731|Золото|None|2.56|16,5|0|375|obruchalnye|1060.58|477.26
Т200013731|Золото|None|2.71|18|0|375|obruchalnye|1122.73|505.23
Т200013731|Золото|None|3.07|20,5|0|375|obruchalnye|1271.87|572.34
Т10001225|Золото|None|2.23|15,5|0|585|obruchalnye|946.14|425.76
Т10001225|Золото|None|2.23|15,5|0|585|obruchalnye|946.14|425.76
Т10001225|Золото|None|2.25|16|0|585|obruchalnye|954.63|429.58
Т10001225|Золото|None|2.25|16|0|585|obruchalnye|954.63|429.58
Т10001225|Золото|None|3.01|21,5|0|585|obruchalnye|1277.08|574.69
Т10001225|Золото|None|2.15|15|0|585|obruchalnye|912.2|410.49
Т10001225|Золото|None|2.15|15|0|585|obruchalnye|912.2|410.49
Т10001225|Золото|None|2.35|17|0|585|obruchalnye|997.06|448.68
Т10001225|Золото|None|2.16|15|0|585|obruchalnye|916.44|412.40
Т10001225|Золото|None|2.16|15|0|585|obruchalnye|1203.42|541.54
Т10001225|Золото|None|2.36|17|0|585|obruchalnye|1001.3|450.59
Т10001225|Золото|None|2.46|18|0|585|obruchalnye|1043.73|469.68
Т10001225|Золото|None|2.38|16,5|0|585|obruchalnye|1009.79|454.41
Т10001225|Золото|None|3.03|21,5|0|585|obruchalnye|1285.57|578.51
Т10001225|Золото|None|2.31|16|0|585|obruchalnye|980.09|441.04
Т10001225|Золото|None|2.09|16|0|585|obruchalnye|1164.42|523.99
Т10001225|Золото|None|2.1|16|0|585|obruchalnye|890.99|400.95
Т10001225|Золото|None|2.23|16,5|0|585|obruchalnye|946.14|425.76
Т10001225|Золото|None|3|23|0|585|obruchalnye|1272.84|572.78
Т10001225|Золото|None|2.1|15|0|585|obruchalnye|890.99|400.95
Т10001225|Золото|None|2.19|16,5|0|585|obruchalnye|929.17|418.13
Т10001225|Золото|None|3.07|23|0|585|obruchalnye|1302.54|586.14
Т10001225|Золото|None|2.05|15,5|0|585|obruchalnye|869.77|391.40
Т10001225|Золото|None|2.05|15,5|0|585|obruchalnye|869.77|391.40
Т10001225|Золото|None|2.16|16|0|585|obruchalnye|916.44|412.40
Т10001225|Золото|None|2.18|16,5|0|585|obruchalnye|924.93|416.22
Т10001225|Золото|None|2.2|16,5|0|585|obruchalnye|933.42|420.04
Т10001225|Золото|None|2.08|15,5|0|585|obruchalnye|882.5|397.13
Т10001225|Золото|None|2.08|15,5|0|585|obruchalnye|882.5|397.13
Т10001225|Золото|None|2.08|16|0|585|obruchalnye|882.5|397.13
Т10001225|Золото|None|3.02|23|0|585|obruchalnye|1281.33|576.60
Т10001225|Золото|None|2.45|18|0|585|obruchalnye|1039.49|467.77
Т10001225|Золото|None|2.45|18|0|585|obruchalnye|1039.49|467.77
Т10001225|Золото|None|2.31|16,5|0|585|obruchalnye|980.09|441.04
Т10001225|Золото|None|2.32|16,5|0|585|obruchalnye|984.33|442.95
Т10001225|Золото|None|3|22|0|585|obruchalnye|1272.84|572.78
Т10001225|Золото|None|1.94|15|0|585|obruchalnye|823.1|370.40
Т10001225|Золото|None|2.24|15|0|585|obruchalnye|1247.99|561.60
Т10001225|Золото|None|2.74|21|0|585|obruchalnye|1526.56|686.95
Т10001225|Золото|None|2.05|15|0|585|obruchalnye|1142.14|513.96
Т10001225|Золото|None|2|15|0|585|obruchalnye|1114.28|501.43
Т107017273|Золото|1 фианит 3,0 Круг|0.64|16,5|0|585|pomolvochnye|442.58|221.29
Т130013978|Золото|None|2.65|22,5|0|585|obruchalnye|1166|524.70
Т130013978|Золото|None|1.79|15|0|585|obruchalnye|787.6|354.42
Т130013978|Золото|None|1.75|15|0|585|obruchalnye|770|346.50
Т130013978|Золото|None|1.75|15|0|585|obruchalnye|770|346.50
Т130013978|Золото|None|1.83|15|0|585|obruchalnye|805.2|362.34
Т130013978|Золото|None|1.72|15|0|585|obruchalnye|756.8|340.56
Т130013978|Золото|None|2.35|22,5|0|585|obruchalnye|1034|465.30
Т130013978|Золото|None|1.82|16|0|585|obruchalnye|1040|468.00
Т130013978|Золото|None|1.82|16|0|585|obruchalnye|1040|468.00
Т130013978|Золото|None|2.42|22,5|0|585|obruchalnye|1382.86|622.29
Т130013978|Золото|None|1.7|16|0|585|obruchalnye|748|336.60
Т130013978|Золото|None|1.7|16|0|585|obruchalnye|971.43|437.14
Т130013978|Золото|None|2.25|22|0|585|obruchalnye|990|445.50
Т130013978|Золото|None|2.43|22,5|0|585|obruchalnye|1069.2|481.14
Т130013978|Золото|None|1.65|15|0|585|obruchalnye|726|326.70
Т130013978|Золото|None|2.55|22,5|0|585|obruchalnye|1122|504.90
Т130013978|Золото|None|1.55|15|0|585|obruchalnye|682|306.90
Т130013978|Золото|None|1.82|15,5|0|585|obruchalnye|800.8|360.36
Т130013978|Золото|None|1.81|16|0|585|obruchalnye|1034.29|465.43
Т130013978|Золото|None|1.86|15|0|585|obruchalnye|818.4|368.28
Т130013978|Золото|None|1.61|15|0|585|obruchalnye|708.4|318.78
Т130013978|Золото|None|1.68|15,5|0|585|obruchalnye|739.2|332.64
Т130013978|Золото|None|2.55|21,5|0|585|obruchalnye|1122|504.90
Т130013978|Золото|None|1.66|16|1|585|obruchalnye|948.57|303.54
Т130013978|Золото|None|1.56|15|0|585|obruchalnye|891.43|401.14
Т130013978|Золото|None|1.65|16|0|585|obruchalnye|942.86|424.29
Т130013978|Золото|None|1.74|16|0|585|obruchalnye|994.29|447.43
Т130013978|Золото|None|1.98|16|0|585|obruchalnye|1131.43|509.14
Т130013978|Золото|None|2.29|22,5|0|585|obruchalnye|1308.57|588.86
Т130013978|Золото|None|2.07|17,5|0|585|obruchalnye|1182.86|532.29
Т130013978|Золото|None|2.74|21,5|0|585|obruchalnye|1565.72|704.57
П7412-001К14|Золото|None|1.73|15,5|0|585|obruchalnye|988.57|444.86
П7412-001К14|Золото|None|1.77|15,5|0|585|obruchalnye|1011.43|455.14
П7412-001К14|Золото|None|1.77|15,5|0|585|obruchalnye|1011.43|455.14
П7412-001К14|Золото|None|1.84|16,5|0|585|obruchalnye|1051.43|473.14
П7412-001К14|Золото|None|1.85|18|0|585|obruchalnye|1057.15|475.72
П7412-001К14|Золото|None|1.93|16,5|0|585|obruchalnye|992.58|446.66
П7412-001К14|Золото|None|1.98|18|0|585|obruchalnye|1131.43|509.14
П7412-001К14|Золото|None|1.99|18|0|585|obruchalnye|1137.15|511.72
П7412-001К14|Золото|None|1.99|18|0|585|obruchalnye|1137.15|511.72
П7412-001К14|Золото|None|2.04|18|0|585|obruchalnye|1025.83|461.62
П7412-001К14|Золото|None|2.08|18|0|585|obruchalnye|1045.93|470.67
П7412-001К14|Золото|None|1.68|15,5|0|585|obruchalnye|960|432.00
П7412-001К14|Золото|None|1.72|16|0|585|obruchalnye|982.86|442.29
П7412-001К14|Золото|None|1.75|15,5|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.75|15,5|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.78|16|0|585|obruchalnye|1017.15|457.72
П7412-001К14|Золото|None|1.78|16|0|585|obruchalnye|1017.15|457.72
П7412-001К14|Золото|None|1.78|16|0|585|obruchalnye|1017.15|457.72
П7412-001К14|Золото|None|1.85|16|0|585|obruchalnye|843.08|379.39
П7412-001К14|Золото|None|1.88|17,5|0|585|obruchalnye|1074.29|483.43
П7412-001К14|Золото|None|1.88|17,5|0|585|obruchalnye|1074.29|483.43
П7412-001К14|Золото|None|1.89|17|0|585|obruchalnye|1080|486.00
П7412-001К14|Золото|None|1.9|17|0|585|obruchalnye|1004.28|451.93
П7412-001К14|Золото|None|1.9|17|0|585|obruchalnye|1085.72|488.57
П7412-001К14|Золото|None|1.9|17,5|0|585|obruchalnye|1085.72|488.57
П7412-001К14|Золото|None|1.95|16,5|0|585|obruchalnye|1114.29|501.43
П7412-001К14|Золото|None|1.95|17,5|0|585|obruchalnye|1114.29|501.43
П7412-001К14|Золото|None|1.96|17,5|0|585|obruchalnye|1120|504.00
П7412-001К14|Золото|None|1.97|16,5|0|585|obruchalnye|1125.72|506.57
П7412-001К14|Золото|None|1.97|17|0|585|obruchalnye|1125.72|506.57
П7412-001К14|Золото|None|1.98|17,5|0|585|obruchalnye|1131.43|509.14
П7412-001К14|Золото|None|2|17|0|585|obruchalnye|1142.86|514.29
П7412-001К14|Золото|None|2|17|0|585|obruchalnye|1142.86|514.29
П7412-001К14|Золото|None|2|17|0|585|obruchalnye|1142.86|514.29
П7412-001К14|Золото|None|2.03|17|0|585|obruchalnye|1160|522.00
П7412-001К14|Золото|None|2.04|17,5|0|585|obruchalnye|929.67|418.35
П7412-001К14|Золото|None|2.05|17|0|585|obruchalnye|1171.43|527.14
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
